labels 0 1 2 3 4 5
0 0.999719 2.2163e-05 5.16926e-05 0.000161276 3.83643e-05 7.49196e-06
0 0.999792 2.01977e-05 2.46357e-07 0.000166675 1.78449e-05 3.35162e-06
0 0.999781 3.35252e-05 1.50689e-05 0.000136997 1.06089e-05 2.28656e-05
0 0.999378 7.11199e-05 6.28668e-05 0.000427259 2.36148e-05 3.66598e-05
0 0.999567 7.09786e-05 1.52365e-05 0.000322934 8.79555e-06 1.53787e-05
0 0.999304 0.000180517 4.87103e-05 0.000421516 1.85546e-05 2.67124e-05
0 0.999107 3.11808e-05 0.0005291 0.000107912 0.000183262 4.19602e-05
0 0.999504 2.28005e-05 0.000210789 6.26172e-05 0.000184063 1.62193e-05
0 0.999788 2.36657e-05 7.35441e-05 2.45007e-05 7.97821e-05 1.07682e-05
0 0.999124 2.73296e-05 0.00022096 5.11136e-05 0.000554254 2.20343e-05
0 0.999886 1.3405e-05 7.39935e-06 6.2849e-05 2.10622e-05 9.39641e-06
0 0.998726 1.14242e-05 0.000537443 2.15347e-05 0.000695266 8.34359e-06
0 0.999881 1.35654e-05 3.06421e-05 9.57731e-06 6.27387e-05 2.09777e-06
0 0.999949 7.88461e-06 1.07298e-05 1.43827e-05 1.57863e-05 2.28062e-06
0 0.999912 9.53892e-06 3.16673e-06 5.72226e-05 1.13338e-05 6.98585e-06
0 0.999226 1.09804e-05 9.34599e-05 5.81397e-05 0.000582949 2.84625e-05
0 0.999769 3.6642e-05 3.3611e-05 4.51626e-05 7.43053e-05 4.10704e-05
0 0.999617 5.31864e-05 7.2018e-06 0.000254652 1.06875e-05 5.72713e-05
0 0.999417 6.45306e-05 0.000116714 0.000242896 7.86532e-05 8.03029e-05
0 0.999496 4.2788e-05 7.62829e-06 0.000417516 5.74748e-06 2.99151e-05
0 0.999714 5.47632e-05 8.52209e-05 8.15998e-05 2.86533e-05 3.60723e-05
0 0.999687 2.08525e-05 9.1965e-05 8.8564e-05 8.50783e-05 2.64241e-05
0 0.999718 2.07224e-05 3.02393e-05 0.000133688 5.02931e-05 4.73101e-05
0 0.99982 6.376e-06 1.29664e-05 0.000111487 1.58256e-05 3.31336e-05
0 0.999367 1.39942e-05 0.000212068 7.13367e-05 0.000310608 2.50766e-05
0 0.9985 2.40662e-05 0.000438797 4.43756e-05 0.000984556 7.89925e-06
0 0.99967 1.84666e-05 0.000119431 3.77409e-05 0.000151736 2.1501e-06
0 0.999905 1.03248e-05 4.4359e-05 2.50019e-05 1.42354e-05 8.63056e-07
0 0.998979 3.55875e-06 0.000713183 1.39958e-05 0.000286766 3.07311e-06
0 0.999496 9.23502e-06 0.000408817 1.88856e-05 5.45099e-05 1.23176e-05
0 0.999703 2.31663e-05 0.000116171 7.0898e-05 5.8209e-05 2.90179e-05
0 0.999013 2.7846e-05 0.000737159 2.52302e-05 0.000173484 2.3532e-05
0 0.999775 2.08406e-05 7.29864e-05 1.63116e-05 5.89644e-05 5.62211e-05
0 0.998976 3.66331e-05 0.000329038 3.69062e-05 0.000586303 3.55288e-05
0 0.99948 1.71071e-05 0.000264077 7.56451e-05 0.000129408 3.35509e-05
0 0.99943 6.37157e-06 0.000439254 4.9524e-05 6.93268e-05 5.9646e-06
0 0.999853 6.67524e-06 8.22002e-05 1.40956e-05 4.18925e-05 2.36687e-06
0 0.999933 1.96416e-05 1.09496e-05 2.93607e-05 5.38424e-06 1.45451e-06
0 0.999249 0.000146604 0.000149448 0.000111286 0.000332345 1.08997e-05
0 0.997854 0.000244077 0.000568675 0.000174411 0.00113368 2.54003e-05
0 0.997672 0.000222277 0.000554883 0.000407988 0.00110615 3.7138e-05
0 0.997536 0.000289213 0.000836003 0.000194926 0.00106086 8.28456e-05
0 0.997561 0.000243239 0.00106099 0.000422811 0.00056799 0.000143947
0 0.997489 0.000194166 0.00105467 0.000417027 0.000665642 0.000179842
0 0.998213 0.000151186 0.00106852 0.000227107 0.000227376 0.000113252
0 0.998518 0.000107903 0.00106516 2.6814e-05 0.000146268 0.000136077
0 0.997767 0.000175818 0.00106404 0.000193623 0.000625422 0.000173749
0 0.997669 6.35557e-05 0.00105011 0.000416258 0.000687892 0.000113488
0 0.999952 2.90397e-07 3.06455e-05 8.79017e-06 6.21556e-07 7.73525e-06
0 0.999283 3.08362e-06 0.000247079 0.000415928 1.40237e-05 3.66126e-05
0 0.999106 3.30773e-06 0.00066686 0.000179496 1.50898e-05 2.88161e-05
0 0.998389 8.68504e-06 0.00106853 0.000448592 3.40999e-05 5.1156e-05
0 0.999421 3.68808e-06 0.000446242 7.06983e-05 1.51502e-05 4.29861e-05
0 0.999509 2.79652e-06 0.000424638 4.82055e-05 4.4627e-06 1.09126e-05
0 0.99876 1.83031e-06 0.00106436 0.000145034 2.25696e-05 5.98057e-06
0 0.999563 1.30564e-06 0.000371875 5.46054e-05 3.33792e-06 6.31253e-06
0 0.998713 7.96236e-06 0.00106846 0.000101048 9.69929e-05 1.30338e-05
0 0.99865 3.36264e-05 0.00103859 1.58777e-05 0.000247313 1.4849e-05
0 0.998149 4.72805e-05 0.00106516 0.000137254 0.000535467 6.6286e-05
0 0.99897 4.06313e-05 0.000714955 0.000120563 5.74264e-05 9.63239e-05
0 0.999468 7.95602e-05 0.000201264 8.51975e-05 4.02641e-05 0.000125839
0 0.999462 0.000124005 8.46932e-05 0.000174777 2.28114e-05 0.000131858
0 0.998888 0.000182545 7.02416e-05 0.000617892 4.56617e-05 0.000195474
0 0.999489 7.17329e-05 0.00010283 0.000138809 5.46335e-05 0.00014273
0 0.997597 0.000186426 0.00107151 0.000421718 0.00057984 0.000143088
0 0.999613 3.11629e-05 0.000284709 2.34916e-05 2.03065e-05 2.71982e-05
0 0.998452 6.73138e-05 0.00100223 0.00026434 0.000143497 7.05087e-05
0 0.998831 5.14223e-05 0.000561584 0.0002403 0.000201052 0.000114266
0 0.999468 2.05627e-05 0.000355968 1.87884e-05 0.000103906 3.27991e-05
0 0.998977 4.13716e-05 0.000541499 3.11097e-05 0.000346096 6.26544e-05
